text,label
"Congratulations! Your EcoCash number has been selected as a winner in our promotion. You have won $500 USD. To claim your prize, please send your EcoCash PIN.",phishing
"CBZ Bank: Urgent Account Verification Required. We detected unusual activity. Click here to restore access: http://cbz-verify.tk/login",phishing
"ZIMRA Tax Refund Notification. You are eligible for a tax refund of ZWL 50,000. To process your refund, send a processing fee of $50 USD via EcoCash.",phishing
"Job Opportunity in Dubai - Urgent. Salary: $3000 USD. To proceed, pay visa processing fee of $500 USD. WhatsApp now!",phishing
"Best USD Rate - Black Market Dealer. 1 USD = ZWG 25. Minimum transaction $500. Send EcoCash to my agent.",phishing
"FREE ZESA Tokens - Limited Offer! ZESA is giving away FREE electricity tokens. Send $5 activation fee via EcoCash to claim.",phishing
"Instant SME Loan Approved. No collateral. Interest rate 5%. Pay insurance fee of $200 USD to access funds.",phishing
"Mukuru: Your transfer has been delayed. Verify your identity by clicking: http://mukuru-verify.site/confirm.",phishing
"Invest and Earn 50% Monthly Returns. Join Zimbabwe's fastest growing crypto platform! Payment via Innbucks.",phishing
"Government Tender Opportunity. Processing fee: $1000 USD. Contact me privately on WhatsApp.",phishing
"Hi, I mistakenly sent EcoCash to your number. Please send it back to 0773XXXXXX. God bless you.",phishing
"Econet: Your WhatsApp will expire. Send $1 EcoCash to 0772XXXXXX to renew for 1 year.",phishing
"Forward this to 15 people and receive 50GB free data from NetOne! Don't break the chain!",phishing
"OneMoney: Dial *111# to claim your loyalty bonus of $100.",phishing
"CBZ Bank: Transaction Alert. A transaction has been processed on your account ending ****1234. Amount: ZWG 500.",safe
"EcoCash: Transfer Received. You have received $20.00 from 0772******45. Reference: EC24012900001.",safe
"ZETDC: Your Electricity Statement. Account: 123456789. Amount Due: ZWG 750. Due Date: 15 Feb.",safe
"ZIMRA e-Services: System Maintenance Notice. The portal will be unavailable on Sunday. No action is required.",safe
"Monthly Statement - SME Account. Dear Makanaka Traders, please find attached your monthly statement from FBC Bank.",safe
"Hey Tafadzwa, are we still meeting at Eastgate Mall this afternoon?",safe
"URGENT: Your Steward Bank account has been suspended. Verify immediately: http://stewardbank-verify.xyz/login or lose access permanently.",phishing
"NetOne: You have won a FREE Samsung Galaxy S24! To claim, send $10 processing fee via OneMoney to 0712345678.",phishing
"Dear Customer, ZB Bank requires you to update your KYC details. Send your ID number and account PIN to 0779XXXXXX to avoid account closure.",phishing
"Congratulations! You have been shortlisted for a UN job vacancy in Geneva. Salary $8000/month. Pay $300 registration fee via EcoCash.",phishing
"ZIMRA ALERT: Your tax obligations are overdue. Pay ZWG 25,000 within 24hrs or face legal action. Call 0777XXXXXX now.",phishing
"Hi, ndizvozvo here zvandakukutumireira? I sent you $50 EcoCash by mistake. Ndapota ndisenderei. Maita basa.",phishing
"FBC Bank: We noticed a suspicious login to your account. Reset your PIN: http://fbc-secure.tk/reset. Do not share this link.",phishing
"ZESA Zimbabwe: Power subsidy programme. Residents qualify for 200 free units. Register via EcoCash: send ZESA to 0771000000.",phishing
"Scholarship Alert! Full scholarship to study in China 2024. No fees required BUT pay $150 courier fee for documents. Apply on WhatsApp.",phishing
"Your Innbucks wallet has a pending reversal of $150. Confirm your details here: http://innbucks-support.site/verify to release funds.",phishing
"RBZ OFFICIAL: The Reserve Bank of Zimbabwe is giving all citizens ZWG 500 stimulus package. Register at http://rbz-stimulus.xyz/apply",phishing
"Econet Data Bundle Promotion! Get 10GB for $1 only today. Send BUNDLE to 0779999999 via WhatsApp to activate.",phishing
"WARNING: Your WhatsApp account will be deleted in 24 hours unless you verify. Send code 654321 to +1-800-XXX-XXXX immediately.",phishing
"ZIMDEF Bursary 2024 - Applications Open. All Zimbabwean students qualify. Pay $20 application fee via EcoCash to 0774XXXXXX.",phishing
"Room to Rent in Harare - Avondale. 2 bedroom fully furnished. $150/month. Pay $300 deposit via EcoCash before viewing. WhatsApp only.",phishing
"BREAKING: Stanbic Bank is upgrading its system. All customers must reactivate accounts. Click: http://stanbic-zw.xyz/reactivate",phishing
"You have been selected for a ZimTrade export business mentorship. Registration fee $500 USD. Limited slots. Pay via EcoCash NOW.",phishing
"Congratulations Shamiso! Your application for the 2024 Civil Service job has been approved. Pay $80 uniform deposit to 0773XXXXXX.",phishing
"Hi, I am Col. James Moyo, former ZDF officer. I have $4.5M USD in a locked account. I need your help to transfer. You get 30%.",phishing
"NOTICE: Your ZimSwitch card has been flagged for fraudulent transactions. Call our security team: 0242-XXXXXX and provide your PIN.",phishing
"Pliz share this to 20 contacts: Econet is giving FREE airtime worth $5 to celebrate 30 years. Just forward this message!",phishing
"WARNING - Final Notice: ZIMRA debt recovery unit will garnish your salary on Monday. Call 0779XXXXXX to settle ZWG 3,200 TODAY.",phishing
"Crypto Investment Zimbabwe: Turn $100 into $1,500 in 7 days using our automated trading bot. Join 5,000+ Zimbabweans. Innbucks accepted.",phishing
"GET RICH FAST: Join our Harare forex trading group. Profit guaranteed. Send $50 via EcoCash to join. WhatsApp: 0773XXXXXX",phishing
"ECOCASH SYSTEM NOTICE: Dear valued customer, your wallet will be deactivated. Provide your full name DOB and PIN to 0779XXXXXX to reactivate.",phishing
"Steward Bank: WIN $1000 by answering 3 questions! Visit http://stewardbank-promo.tk to participate. Hurry, offer expires today!",phishing
"NetOne Zimbabwe: Dear customer, your SIM card has been flagged. To avoid disconnection, verify at http://netone-kyc.xyz/verify",phishing
"Livestock Investment Opportunity: 50 cattle in Masvingo available for investors. Returns 200% in 6 months. Send $500 deposit via EcoCash.",phishing
"Dear winner, you have been randomly selected in the Harare City Council lucky draw. Collect ZWG 10,000 prize. Pay $30 admin fee to 0774XXXXXX.",phishing
"VACANCY: 5 drivers needed for South Africa trip. Salary $1200/month. Application fee $150 USD via EcoCash. WhatsApp CV to 0779XXXXXX.",phishing
"NMB Bank: Account security alert. Your account shows unusual activity. Verify now at http://nmb-secure.site or call 0777XXXXXX.",phishing
"Greetings. I represent a deceased diplomat who left $12M unclaimed. Your name matched as next of kin. Reply with your bank details.",phishing
"CBZ Bank: SPECIAL OFFER - Zero interest loan up to $50,000. No paperwork. Just pay $200 insurance via EcoCash to unlock your loan.",phishing
"ZIMRA refund of $320 has been approved for your 2023 returns. To receive, provide your account number and OTP sent to your phone.",phishing
"Whatsapp message from unknown: Hi, I am looking for business partners in Zimbabwe for a gold export deal. 70/30 profit share.",phishing
"Zupco has launched an e-ticket system. Load $10 bonus by sending ZUPCO to your EcoCash agent. Hurry, first 1000 only!",phishing
"Your EcoCash has been credited with $250 from PayPal. To release funds, pay $15 clearance fee via EcoCash to 0774XXXXXX.",phishing
"BREAKING: Zimbabweans living abroad can now claim land under the new 2024 diaspora scheme. Register fee $100 via Mukuru.",phishing
"Steward Bank Loyalty Programme: You have accumulated 5000 points worth $500. Redeem now: http://steward-rewards.xyz/redeem",phishing
